AID,Text
A001,"If you cannot find the documents, please check the following points. <br> <br> <br> 【Student version】 <br> 1. Make sure that you are enrolled in the course corresponding to the subject. Usually, you are registered for the course once you applied for the registration. You cannot use the documents before the registration. <br> 2. Ask the teacher in charge of the class to confirm that the availability period of the data is set correctly. <br> <br> 【Teacher version】 <br> 1. Please make sure that the documents have been posted to the courses for this fiscal year that correspond to the subjects, not my page. Documents posted on My Page cannot be used except for yourself. <br> 2. Make sure that there are no other courses offered on the same day of the week, time, or class. If you do not consolidate subjects, students may have registered for another subject. <br> 3. Make sure that folders and files are not hidden. If it is hidden, students cannot use it. <br> 4. By setting the availability period of folders and files, you can set the use restriction to students. Make sure that this availability period is set correctly. Students cannot use documents that are out of period."
A002,"The instructor in charge of each class can set whether or not to notify by e-mail when creating or uploading documents. Even if the student wants to be notified, the notification will not be received unless the teacher in charge of the class sets it. In addition, by using the group function, it is possible to disclose and notify documents and notices to only some students. In addition, even if it is the document uploaded to the folder set to hide, if you set it to "notify", an email will be sent to the students stating that "folders and files have been prepared"."
A003,"kibaco does not have a function to set a password for a file. The files will be disclosed to all students, but if you want to make them available only to some students, you can use the group settings to make them available only to specific students. Another option is to upload an encrypted file, and only let some students know their password."
A004,"It is possible by using "document" function. For more information, see the <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=44" target="_blank">pages 44-46 of the manual for Teacher</a>."
A005,"If you register students in courses that correspond to the subjects, you can distribute the materials to students who have not applied for courses. Registration methods include allowing the teacher to register for the student's study number, making the course cls-registerable and having the student cls-register. Details are <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=31" target="_blank">pages 31 ~ 34 of the manual for Teacher</a>. In addition, first-year undergraduate students cannot use kibaco until they take an information ethics class in the first class of the Information Literacy Practice I/IA."
A006,"Unfortunately there is no batch download feature for documents."
A007,"When displaying text files in a browser, the character code for display set in the browser should be used. At this time, if the character code of the file and the display character code of the browser are different, they will be garbled. Match the browser display character code to the file character code. If you find it difficult to match, please download the file. In many browsers, the character code for display is often set to UTF-8, so by uploading the file saved with character code UTF-8, there is a possibility that garbled characters can be avoided. Learn more about file uploads from <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=44" target="_blank">pages 44 to 46 of the manual for Teacher</a>."
A008,"By granting document creation authority to TA/Tutor role, TA/Tutor can upload files on behalf of the teacher. First, create a folder for sharing files in the document function. Next, select 'Edit Folder Permissions' from the drop-down list of this folder, and set the permission checkmark appropriately. The materials need to be prepared by the teacher."
A009,"<a href="http://www.comp.tmu.ac.jp/e-learning//files/kibaco_teacher1_20161017.pdf#page=44" target="_blank">pages 44 to 46 of the manual for Teacher</a>. Upload according to the instructions in 'Distributing materials'."
A010,"Even after the deadline, it is possible for the teacher to request specific students to resubmit. The final acceptance date and time set in the resubmission setting will be reflected only for the student, and will not be reflected in the overall final acceptance date."
A011,"It is possible to submit an assignment by changing the deadline. Details are <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=55" target="_blank">pages 55 ~ 59 of the manual for Teacher</a>."
A012,"If you cannot find the assignments, check the following points. <br> <br> <br> 【Student version】 <br> 1. Make sure that you are registered in the course corresponding to the subject. Usually, you are registered for the course once you applied for the registration. If you are not registered in the course, you will not be able to view and submit assignments. <br> 2. Ask the teacher in charge of the class to confirm that the assignment and submission period for the assignment is correct. <br> <br> 【Teacher version】 <br> 1. Make sure that the assignment is not saved as a draft. Students cannot view or submit drafts. Details are <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=55" target="_blank">pages 55 ~ 59 of the manual for Teacher</a>. <br> 2. Make sure that the assignment disclosure/submission period is set correctly. Students cannot view or submit assignments that are out of period. Details are <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=55" target="_blank">pages 55 ~ 59 of the manual for Teacher </a>. <br> 3. Make sure there are no additional courses offered on the same day of the week, time limit, or class. If you do not consolidate subjects, students may have registered for another subject."
A013,"If the file name is the same, an overwrite confirmation message will be displayed, and the file will be overwritten if submitted as it is. If you want to submit as a separate file, please change the file name beforehand and submit. Details are <a href="http://www.comp.tmu.ac.jp/e-learning//files/kibaco_student1_20161017.pdf#page=31" target="_blank">pages 31 ~ 33 of the manual for Student</a>."
A014,"It is possible to copy assignments, documents, notices and Test/Questionnaire to courses of other subjects/classes for which you are in charge. For more details, please refer to <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=35" target="_blank">pages 35 ~ 40 of the manual for Teacher</a>."
A015,"You can duplicate an assignment by clicking 'Duplicate' under the assignment title. Tasks created by duplication will be in draft status, so please edit and use them."
A016,"The teacher can change the authority so that users with 'TA/Tutor' authority can download assignment submissions. To change the permission, first, click on 'Permission' in the menu bar, and then on the permission setting screen, add a checkmark to 'Operation for all groups in class' and 'Scoring'. Remember that it is necessary for the teacher to input scoring and results."
A017,"Unfortunately, you cannot change the folder hierarchy for downloading."
A018,"If you check 'Send reminder email' on the assignment creation screen, you can remind the unsubmitted students by email 24 hours before the due date. In addition, since the assignment submission authority is granted to teachers as a standard, reminder emails will also be sent to teachers. For details, see <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=58" target="_blank">page 58 of the manual for Teacher</a> and <a href="http://www.comp.tmu.ac.jp/e-learning/files/kibaco_teacher1_20161017.pdf#page=63" target="_blank">pages 63 of the manual for Teacher</a>."
