Text, AID
"The teacher should have uploaded materials in the class I am taking, but I cannot find any materials on the course.",A001
"I put the material on my page but students cannot see it.",A001
"How can I prevent the students from seeing any materials on "documents" stored for the subjects of the previous semester?",A001
"I cannot find the uploaded material.",A001
"I cannot see the teacher's materials.",A001
"If "notification" and "documents" are made available only to the group selected at the time of creation and "notify by e-mail" is made, will email be notified only to that group? ",A002
"I uploaded documents to a folder that I set as non-display, but when I upload files with the "notify" setting, the folders and files will be emailed to students.",A002
"When creating a notification that can only be viewed by a specific group of students, does an email notification only reach the group's students?",A002
"I want to notify students when I upload the document file.",A002
"What is the function of notifying students about file uploads?",A002
"Can the teacher set the notification function?",A002
"Can only some students be notified about uploaded materials?",A002
"Is the document disclosure setting and notification function not linked?",A002
"Can only the specified student group be informed of the publication of materials?",A002
"Can I set a password for documents?",A003
"Does kibaco have encryption capabilities?",A003
"I want to set the file to open with password authentication.",A003
"Can I upload encrypted files?",A003
"Can I upload files with password settings?",A003
"I want to share the material with all students on kibaco.",A004
"I want to distribute class materials",A004
"I want to pass files to students",A004
"I would like to disclose class slides to students on kibaco.",A004
"Can we disclose lesson materials to students?",A004
"I would like to distribute materials with kibaco prior to the application period, but what should I do?",A005
"Can students download lesson materials before applying for courses?",A005
"When will students be able to view class content in kibaco?",A005
"Can I distribute materials to students who have not taken this?",A005
"Can the course be distributed if the teacher registers the student during the class entry period?",A005
"I want to know how to download document files at once.",A006
"I want to download all the files at once.",A006
"It is troublesome to download one file each time.",A006
"I want to download multiple files at once.",A006
"I want to download many files at once.",A006
"When I open the SJIS text file I put in the document, it is garbled",A007
"The file is garbled and can not be read.",A007
"Where should we use the character code for files placed in kibaco?",A007
"What is the character code specified by kibaco?",A007
"Which character code should I upload the file for?",A007
"I want to let someone upload the file.",A008
"I want other staff to upload files.",A008
"Does class support students have the upload permission?",A008
"I want TA to upload files to the course's resources. ",A008
"Who can upload files?",A008
"I want to give upload authority to non-teachers",A008
"I do not know how to upload a file to the" document "on the class page. ",A009
"Can I upload multiple files at once?",A009
"Where can I upload materials?",A009
"Can I upload files to kibaco?",A009
"Tell me how to upload.",A009
"Can some students set resubmission settings?",A010
"I would like to resubmit only the student who submitted the poor task.",A010
"I would like to have students who submit incomplete assignments resubmit.",A010
"Can I resubmit the assignment after the final acceptance date?",A010
"I have set the resubmission settings for specific students, but they will not be reflected in the overall final acceptance date. Can students resubmit in this state?",A010
"After the deadline, it seems that the resubmission is not possible, but can I do it?",A010
"Can I modify the submission deadline after the final acceptance date?",A011
"I want to be able to submit again the assignments that have been published in the past.",A011
"Can I edit the submission deadline and reset it for submission?",A011
"I would like to change the deadline so that students can submit the task once again",A011
"Can I change the deadline after the deadline?",A011
"I created an assignment but I was contacted by students as they could not see it.",A012
"A test published by the teacher is not displayed.",A012
"I can't see the assignment",A012
"The assignment is not displayed.",A012
"There are no assignments that should have been created",A012
"Files submitted in the past will be updated.",A013
"When a student resubmits an assignment, is it overwritten if the file name is the same?",A013
"I want to keep the previously submitted file.",A013
"Can I save a file with the same name without overwriting it?",A013
"Can I save the submitted file as an alias?",A013
"I would like to copy the assignments created in other courses.",A014
"I want to copy files from other courses",A014
"I want to copy files from other classes",A014
"Can I copy the same task to another class?",A014
"Can I copy all assignments to another course?",A014
"I want to copy assignments from other courses.",A014
"Can I duplicate the created assignments?",A015
"I want to duplicate the assignments",A015
"I want to copy the same assignment again," A015
"Can I copy the assignments?",A015
"Can I duplicate the same assignment?",A015
"I would like to have the staff collect the submissions of the assignment but there is no authority other than TA?",A016
"I want TA to download the issue.",A016
"I want to leave the download of submissions to TA.",A016
"I want the staff to download the submissions",A016
"Can a non-teacher download the task file?",A016
"When I download a folder, I want to delete the internal folder so that I can see all the files in a list.",A017
"Can I get rid of the structure when I download a nested folder?",A017
"Can hierarchical folder structure not be flat?",A017
"There is no folder, I want to export only files.",A017
"I would like to eliminate the hierarchical structure when downloading each folder.",A017
"I would like to receive an email notification when the deadline for the assignment is approaching.",A018
"I want to notify students before the deadline",A018
"Can I set reminder?",A018
"I want to notify students before the deadline.",A018
"I would like to send a reminder of the assignment.",A018
"Are there settings to notify students before the deadline?",A018
"No notification about the assignment has arrived.",A019
"I would like to send a notification email to myself (teacher)," A019
"Can I notify that I changed the content of the assignment?",A019
"I would like to inform students the change in assignment",A019
"I want to be notified of the addition of an assignment",A019
"I cannot submit an assignment even after the assignment deadline has been adjusted.",A020
"The deadline for the assignment is not working",A020
"The submission was completed even after the date and time of the assignment.",A020
"Can't submit assignment",A020
"Can I submit delayed submissions more than once?",A020
"Please let me know how to get the grade list of the assignment.",A021
"Evaluated grades for the task are not reflected in the gradebook.",A021
"I want to know the submission status of the assignment.",A021
"I want to reflect my students’ grades",A021
"When will the grade results be reflected in the gradebook?",A021
"I cannot see the assignments submitted by the students.",A022
"Can't you score the question before the deadline?",A022
"Can student's submissions to assignments not be batch downloaded until the deadline date?",A022
"I created an assignment that imposed text description and file attachment, but I cannot confirm the text content written by the student.",A022
"I cannot grade the assignment.",A022
"A user who said they have taken a test is not ready to check the results.",A023
"I cannot see the results of the students who have taken the test.",A023
"There are no test results for students",A023
"I would like to view saved tests.",A023
"Is it possible to submit my results even with the Save button?",A023
"We received an inquiry from the user who registered for the subject, "I can not answer the test." ",A024
"Students cannot take the test",A024
"Students cannot take a test",A024
"Can't TA get a test?",A024
"The registered student is unable to answer the test.",A024
"I want to check the behavior of the test without being seen by students.",A025
"I want to check the test I created",A025
"I want to check the behavior without releasing the test",A025
"I want to know how to check the test without showing it to the students.",A025
"I want to check the pre-publication test",A025
"I made the students answer the test they created, but they are in a state where they cannot distinguish the students on the screen that confirms the test response.",A026
"Can we make test respondents anonymous",A026
"I cannot confirm which student answered",A026
"Can I set test participant information anonymously?",A026
"Can we create an anonymous survey?",A026
"The questionnaire was conducted but the submitter's name is not displayed, instead the submission ID is displayed.",A026
"I created a Test/Questionnaire, but in the specific test, the student who responded is displayed as a submission ID and can not identify the individual.",A026
"The survey results were anonymous",A026
"I want TA to be able to enter questions to a questionnaire.",A027
"Can staff enter test questions?",A027
"I want TA to enter a problem",A027
"Can TA or staff enter a problem?",A027
"I want to let people without teacher's authority enter a problem.",A027
"I would like to use the problem that TA considered to the test.",A027
"I want to limit the answer to half-width characters in the settings for the test questions.",A028
"I want to limit the input characters when I answer the test.",A028
"Can I only enter full-width characters?",A028
"Can kibaco impose restrictions on input characters?",A028
"Are there any ways to limit input characters?",A028
"I want to keep track of the assignment I created",A029
"Can't automatically create a test from an already created problem?",A029
"I want to automate test creation",A029
"I want to make tests systematically",A029
"Can't we accumulate test problems and output them randomly?",A029
"I created a test in the form of questions from the question pool, but the correct answer set in the question pool is different from the correct answer on the published test.",A030
"Are problems in the problem pool fixed but are automatically reflected in the test I already created?",A030
"Problem pool and test are not linked",A030
"Problem pool fix not reflected in test",A030
"Test has not been modified",A030
"I would like to create a test using the questions entered by the staff.",A031
"The teacher shares the problem pool entered by the TA, but it seems that the teacher cannot share it with others. Should I copy the problem pool once?",A 031
"The TA entered a problem in a subpool of the problem pool but cannot see the subpool from the teacher.",A031
"The TA cannot add a subpool to the problem pool shared by the TA with the teacher.",A 031
"I would like to share the problem pool with other teachers.",A031
"The number of submissions has been set to unlimited in "Test/Questionnaire," but how many delayed submissions can be made? ",A032
"Can I submit a late questionnaire only once?",A032
"How many times can I submit a questionnaire late?",A032
"Can I upload only one questionnaire once after the deadline?",A032
"Can I answer a questionnaire I forgot to submit?",A032
"The "delay tag" when the test is submitted late is not visible in the exported file. ",A033
"I do not know if students delayed when I downloaded the test results.",A033
"Can I mark and download the results of the delayed test?",A033
"I want to keep the delay status in the exported test result file.",A033
"Can I record the delay status in the exported file?",A033
"My browser fell along the way, can I resume the survey?",A034
"Is it okay if I interrupt the questionnaire once?",A034
"I want to save the answer result",A034
"I would like to record the answer once",A034
"Does a questionnaire once interrupted have to be entered from the beginning?",A034
"If the input is interrupted for the questionnaire published as "the person to whom the response URL was sent", can it be resumed?",A035
"Can I enter a continuation even if I interrupt the survey published as "the person to whom the response URL was sent? ",A035
"If I know the URL, and I can answer the questionnaire, can I resume when the session is disconnected?",A035
"I interrupted the survey but I can't resume it.",A035
"The questionnaire in the answer has disappeared.",A035
"When exporting questionnaire responses, numerical responses are treated as strings in the file. I want to limit the numbers.",A036
"When exporting questionnaire responses, some of the responses show "-br-- ". ",A036
"Can you convert the characters in questionnaires to other types with kibaco?",A036
